target,feature,n_low,n_high,median_low,median_high,high_minus_low,cliffs_delta_high_vs_low
baseline_takeover_0_vs_ge2,content_canny_density,6,4,0.07459259033203125,0.16679763793945312,0.09220504760742188,0.9166666666666666
baseline_takeover_0_vs_ge2,content_lsd_line_density,6,4,0.04243084415793419,0.04324649088084698,0.0008156467229127884,-0.25
baseline_takeover_0_vs_ge2,content_lsd_length_mean,6,4,16.797773361206055,14.255206108093262,-2.542567253112793,-0.4166666666666667
baseline_takeover_0_vs_ge2,content_lsd_length_p90,6,4,29.034586524963395,22.401823902130133,-6.632762622833262,-0.5
baseline_takeover_0_vs_ge2,content_lsd_orientation_entropy,6,4,0.5980039911605619,0.8612886778974294,0.26328468673686745,0.6666666666666666
baseline_takeover_0_vs_ge2,content_lsd_orientation_max_share,6,4,0.4366042702141263,0.2330641340598852,-0.2035401361542411,-0.5833333333333334
baseline_takeover_0_vs_ge2,reference_canny_density,6,4,0.08347702026367188,0.10233497619628906,0.018857955932617188,0.0
baseline_takeover_0_vs_ge2,reference_minus_content_canny_density,6,4,0.015340805053710938,-0.04322624206542969,-0.058567047119140625,-0.5833333333333334
baseline_takeover_0_vs_ge2,reference_div_content_canny_density,6,4,1.2362491795754584,0.7234430271121917,-0.5128061524632668,-0.5833333333333334
baseline_takeover_0_vs_ge2,reference_lsd_line_density,6,4,0.059194426983594894,0.052398331463336945,-0.00679609552025795,-0.3333333333333333
baseline_takeover_0_vs_ge2,reference_minus_content_lsd_line_density,6,4,0.012362394481897354,0.015947936102747917,0.003585541620850563,0.08333333333333333
baseline_takeover_0_vs_ge2,reference_div_content_lsd_line_density,6,4,1.3168684812074147,1.3752247786548584,0.05835629744744364,0.16666666666666666
baseline_takeover_0_vs_ge2,reference_lsd_length_mean,6,4,18.29990005493164,16.59773302078247,-1.70216703414917,-0.16666666666666666
baseline_takeover_0_vs_ge2,reference_minus_content_lsd_length_mean,6,4,1.6900219917297363,3.354185104370117,1.6641631126403809,0.25
baseline_takeover_0_vs_ge2,reference_div_content_lsd_length_mean,6,4,1.1282798709176696,1.2501494373951647,0.12186956647749514,0.16666666666666666
baseline_takeover_0_vs_ge2,reference_lsd_length_p90,6,4,35.0086669921875,31.53507423400879,-3.473592758178711,-0.16666666666666666
baseline_takeover_0_vs_ge2,reference_minus_content_lsd_length_p90,6,4,5.243424892425528,10.814599704742431,5.571174812316903,0.16666666666666666
baseline_takeover_0_vs_ge2,reference_div_content_lsd_length_p90,6,4,1.2316278156930376,1.5186396004532605,0.28701178476022293,0.16666666666666666
baseline_takeover_0_vs_ge2,reference_lsd_orientation_entropy,6,4,0.8492592020071054,0.8868968925655343,0.037637690558428916,0.16666666666666666
baseline_takeover_0_vs_ge2,reference_minus_content_lsd_orientation_entropy,6,4,0.24991067957744534,0.0028913893584993078,-0.24701929021894603,-0.75
baseline_takeover_0_vs_ge2,reference_div_content_lsd_orientation_entropy,6,4,1.41790804621962,1.0032707820799867,-0.4146372641396334,-0.75
baseline_takeover_0_vs_ge2,reference_lsd_orientation_max_share,6,4,0.2416098754703472,0.19487953717954404,-0.04673033829080317,-0.5
baseline_takeover_0_vs_ge2,reference_minus_content_lsd_orientation_max_share,6,4,-0.15231037807630043,-0.07455875849918323,0.07775161957711721,0.4166666666666667
baseline_takeover_0_vs_ge2,reference_div_content_lsd_orientation_max_share,6,4,0.5756591276927049,0.7357300949907549,0.16007096729805004,0.25
baseline_takeover_0_vs_ge2,lab_mean_distance,6,4,46.7821311769455,23.306237347337525,-23.475893829607973,-0.5833333333333334
baseline_takeover_0_vs_ge2,lab_std_distance,6,4,10.606583620519176,13.54126206913148,2.9346784486123045,0.08333333333333333
baseline_takeover_0_vs_ge2,contrast_abs_difference,6,4,4.175239562988281,13.070476531982422,8.89523696899414,0.5833333333333334
baseline_takeover_0_vs_ge2,log_laplacian_variance_ratio,6,4,0.06608019942814083,-1.0402446711808206,-1.1063248706089615,-0.5
baseline_takeover_0_vs_ge2,high_frequency_abs_difference,6,4,0.05661040159012759,0.1232535587268245,0.06664315713669691,0.4166666666666667
baseline_takeover_0_vs_ge2,color_histogram_distance,6,4,0.498733326792717,0.4132046699523926,-0.0855286568403244,-0.5
baseline_takeover_0_vs_ge2,orientation_distribution_js,6,4,0.12840421721413242,0.07598461066455733,-0.05241960654957509,-0.6666666666666666
baseline_takeover_0_vs_ge2,rgb_patch_nearest_cosine_mean,6,4,0.9873065948486328,0.9980148673057556,0.010708272457122803,0.5833333333333334
baseline_takeover_0_vs_ge2,rgb_patch_nearest_cosine_p10,6,4,0.970379427075386,0.9962843358516693,0.025904908776283264,0.5
baseline_takeover_0_vs_ge2,rgb_patch_mutual_nearest_fraction,6,4,0.029296875,0.083984375,0.0546875,0.4583333333333333
baseline_takeover_0_vs_ge2,clip_global_cosine,6,4,0.20832139253616333,0.3607860505580902,0.15246465802192688,0.3333333333333333
baseline_takeover_0_vs_ge2,clip_patch_mutual_nearest_fraction,6,4,0.04296875,0.078125,0.03515625,0.6666666666666666
baseline_takeover_0_vs_ge2,clip_patch_nearest_mean,6,4,0.48855821788311005,0.5086668431758881,0.020108625292778015,0.3333333333333333
baseline_takeover_0_vs_ge2,clip_patch_nearest_p10,6,4,0.40801581740379333,0.43006332963705063,0.022047512233257294,0.5833333333333334
baseline_takeover_0_vs_ge2,dino_global_cosine,6,4,0.013844255823642015,0.07616505119949579,0.06232079537585378,0.25
baseline_takeover_0_vs_ge2,dino_patch_mutual_nearest_fraction,6,4,0.08203125,0.0859375,0.00390625,0.25
baseline_takeover_0_vs_ge2,dino_patch_nearest_mean,6,4,0.19857364147901535,0.28157443553209305,0.0830007940530777,0.5
baseline_takeover_0_vs_ge2,dino_patch_nearest_p10,6,4,0.1440909020602703,0.1909172348678112,0.046826332807540894,0.25
