comparison,feature,n_a,n_b,median_a,median_b,median_b_minus_a
baseline_takeover_0_vs_ge2,content_canny_density,6,4,0.07459259033203125,0.16679763793945312,0.09220504760742188
baseline_takeover_0_vs_ge2,content_lsd_line_density,6,4,0.04243084415793419,0.04324649088084698,0.0008156467229127884
baseline_takeover_0_vs_ge2,content_lsd_length_mean,6,4,16.797773361206055,14.255206108093262,-2.542567253112793
baseline_takeover_0_vs_ge2,content_lsd_length_p90,6,4,29.034586524963395,22.401823902130133,-6.632762622833262
baseline_takeover_0_vs_ge2,content_lsd_orientation_entropy,6,4,0.5980039911605619,0.8612886778974294,0.26328468673686745
baseline_takeover_0_vs_ge2,content_lsd_orientation_max_share,6,4,0.4366042702141263,0.2330641340598852,-0.2035401361542411
baseline_takeover_0_vs_ge2,reference_canny_density,6,4,0.08347702026367188,0.10233497619628906,0.018857955932617188
baseline_takeover_0_vs_ge2,reference_minus_content_canny_density,6,4,0.015340805053710938,-0.04322624206542969,-0.058567047119140625
baseline_takeover_0_vs_ge2,reference_div_content_canny_density,6,4,1.2362491795754584,0.7234430271121917,-0.5128061524632668
baseline_takeover_0_vs_ge2,reference_lsd_line_density,6,4,0.059194426983594894,0.052398331463336945,-0.00679609552025795
baseline_takeover_0_vs_ge2,reference_minus_content_lsd_line_density,6,4,0.012362394481897354,0.015947936102747917,0.003585541620850563
baseline_takeover_0_vs_ge2,reference_div_content_lsd_line_density,6,4,1.3168684812074147,1.3752247786548584,0.05835629744744364
baseline_takeover_0_vs_ge2,reference_lsd_length_mean,6,4,18.29990005493164,16.59773302078247,-1.70216703414917
baseline_takeover_0_vs_ge2,reference_minus_content_lsd_length_mean,6,4,1.6900219917297363,3.354185104370117,1.6641631126403809
baseline_takeover_0_vs_ge2,reference_div_content_lsd_length_mean,6,4,1.1282798709176696,1.2501494373951647,0.12186956647749514
baseline_takeover_0_vs_ge2,reference_lsd_length_p90,6,4,35.0086669921875,31.53507423400879,-3.473592758178711
baseline_takeover_0_vs_ge2,reference_minus_content_lsd_length_p90,6,4,5.243424892425528,10.814599704742431,5.571174812316903
baseline_takeover_0_vs_ge2,reference_div_content_lsd_length_p90,6,4,1.2316278156930376,1.5186396004532605,0.28701178476022293
baseline_takeover_0_vs_ge2,reference_lsd_orientation_entropy,6,4,0.8492592020071054,0.8868968925655343,0.037637690558428916
baseline_takeover_0_vs_ge2,reference_minus_content_lsd_orientation_entropy,6,4,0.24991067957744534,0.0028913893584993078,-0.24701929021894603
baseline_takeover_0_vs_ge2,reference_div_content_lsd_orientation_entropy,6,4,1.41790804621962,1.0032707820799867,-0.4146372641396334
baseline_takeover_0_vs_ge2,reference_lsd_orientation_max_share,6,4,0.2416098754703472,0.19487953717954404,-0.04673033829080317
baseline_takeover_0_vs_ge2,reference_minus_content_lsd_orientation_max_share,6,4,-0.15231037807630043,-0.07455875849918323,0.07775161957711721
baseline_takeover_0_vs_ge2,reference_div_content_lsd_orientation_max_share,6,4,0.5756591276927049,0.7357300949907549,0.16007096729805004
baseline_takeover_0_vs_ge2,lab_mean_distance,6,4,46.7821311769455,23.306237347337525,-23.475893829607973
baseline_takeover_0_vs_ge2,lab_std_distance,6,4,10.606583620519176,13.54126206913148,2.9346784486123045
baseline_takeover_0_vs_ge2,contrast_abs_difference,6,4,4.175239562988281,13.070476531982422,8.89523696899414
baseline_takeover_0_vs_ge2,log_laplacian_variance_ratio,6,4,0.06608019942814083,-1.0402446711808206,-1.1063248706089615
baseline_takeover_0_vs_ge2,high_frequency_abs_difference,6,4,0.05661040159012759,0.1232535587268245,0.06664315713669691
baseline_takeover_0_vs_ge2,color_histogram_distance,6,4,0.498733326792717,0.4132046699523926,-0.0855286568403244
baseline_takeover_0_vs_ge2,orientation_distribution_js,6,4,0.12840421721413242,0.07598461066455733,-0.05241960654957509
baseline_takeover_0_vs_ge2,rgb_patch_nearest_cosine_mean,6,4,0.9873065948486328,0.9980148673057556,0.010708272457122803
baseline_takeover_0_vs_ge2,rgb_patch_nearest_cosine_p10,6,4,0.970379427075386,0.9962843358516693,0.025904908776283264
baseline_takeover_0_vs_ge2,rgb_patch_mutual_nearest_fraction,6,4,0.029296875,0.083984375,0.0546875
demuth_content_subset_span,content_canny_density,4,0,0.08962821960449219,,0.12289810180664062
demuth_content_subset_span,content_lsd_line_density,4,0,0.04076933674514294,,0.027967851608991623
demuth_content_subset_span,content_lsd_length_mean,4,0,15.611688137054443,,13.018707275390625
demuth_content_subset_span,content_lsd_length_p90,4,0,26.29455060958864,,24.49754066467288
demuth_content_subset_span,content_lsd_orientation_entropy,4,0,0.7410047471837984,,0.49096406880176846
demuth_content_subset_span,content_lsd_orientation_max_share,4,0,0.32581840548514546,,0.3480192713913477
demuth_content_subset_span,reference_canny_density,4,0,0.0579376220703125,,0.0
demuth_content_subset_span,reference_minus_content_canny_density,4,0,-0.03169059753417969,,0.12289810180664062
demuth_content_subset_span,reference_div_content_canny_density,4,0,0.6651399690519588,,0.6254358961338429
demuth_content_subset_span,reference_lsd_line_density,4,0,0.05479323863983154,,0.0
demuth_content_subset_span,reference_minus_content_lsd_line_density,4,0,0.014023901894688606,,0.027967851608991623
demuth_content_subset_span,reference_div_content_lsd_line_density,4,0,1.3587095028990483,,0.7421315479791603
demuth_content_subset_span,reference_lsd_length_mean,4,0,26.948816299438477,,0.0
demuth_content_subset_span,reference_minus_content_lsd_length_mean,4,0,11.337128162384033,,13.018707275390625
demuth_content_subset_span,reference_div_content_lsd_length_mean,4,0,1.7362164645938327,,1.2873775557884866
demuth_content_subset_span,reference_lsd_length_p90,4,0,51.824259185791014,,0.0
demuth_content_subset_span,reference_minus_content_lsd_length_p90,4,0,25.529708576202374,,24.497540664672883
