target,feature_count,features,split,held_out_group,n_train,n_test,test_positive_rate,accuracy,balanced_accuracy,mean_positive_probability
initial_susceptibility,1,content_canny_density,leave_one_content_family_out,photo_forest_trees.jpg,8,2,0.0,1.0,,0.25810727758586205
initial_susceptibility,1,content_canny_density,leave_one_content_family_out,photo_lecreusois_church.jpg,9,1,0.0,1.0,,0.4272243772493524
initial_susceptibility,1,content_canny_density,leave_one_content_family_out,photo_sea_coast.jpg,9,1,1.0,0.0,,0.18517858619291236
initial_susceptibility,1,content_canny_density,leave_one_content_family_out,photo_sea_wave.jpg,9,1,0.0,1.0,,0.3172739488359342
initial_susceptibility,1,content_canny_density,leave_one_content_family_out,photo_seregei_street.jpg,8,2,1.0,1.0,,0.9161244880103664
initial_susceptibility,1,content_canny_density,leave_one_content_family_out,photo_snow_winter.jpg,9,1,1.0,1.0,,0.5997677820159273
initial_susceptibility,1,content_canny_density,leave_one_content_family_out,photo_water_lake_and_boat.jpg,8,2,0.0,1.0,,0.17244517557359118
initial_susceptibility,1,content_canny_density,leave_one_reference_family_out,demuth,7,3,0.3333333333333333,1.0,1.0,0.48551682855955053
initial_susceptibility,1,content_canny_density,leave_one_reference_family_out,hokusai,9,1,1.0,0.0,,0.18517858619291236
initial_susceptibility,1,content_canny_density,leave_one_reference_family_out,kulhanek,7,3,0.3333333333333333,1.0,1.0,0.34503780290625374
initial_susceptibility,1,content_canny_density,leave_one_reference_family_out,monet,9,1,1.0,1.0,,0.8575193840757673
initial_susceptibility,1,content_canny_density,leave_one_reference_family_out,peixotto,9,1,0.0,1.0,,0.15817633802221587
initial_susceptibility,1,content_canny_density,leave_one_reference_family_out,van_gogh,9,1,0.0,1.0,,0.4272243772493524
initial_susceptibility,2,content_canny_density+clip_patch_mutual_nearest_fraction,leave_one_content_family_out,photo_forest_trees.jpg,8,2,0.0,1.0,,0.27726474553556774
initial_susceptibility,2,content_canny_density+clip_patch_mutual_nearest_fraction,leave_one_content_family_out,photo_lecreusois_church.jpg,9,1,0.0,0.0,,0.9397956004522514
initial_susceptibility,2,content_canny_density+clip_patch_mutual_nearest_fraction,leave_one_content_family_out,photo_sea_coast.jpg,9,1,1.0,0.0,,0.17898118152836237
initial_susceptibility,2,content_canny_density+clip_patch_mutual_nearest_fraction,leave_one_content_family_out,photo_sea_wave.jpg,9,1,0.0,1.0,,0.31698292121991195
initial_susceptibility,2,content_canny_density+clip_patch_mutual_nearest_fraction,leave_one_content_family_out,photo_seregei_street.jpg,8,2,1.0,1.0,,0.9220441802561857
initial_susceptibility,2,content_canny_density+clip_patch_mutual_nearest_fraction,leave_one_content_family_out,photo_snow_winter.jpg,9,1,1.0,1.0,,0.6003213062874027
initial_susceptibility,2,content_canny_density+clip_patch_mutual_nearest_fraction,leave_one_content_family_out,photo_water_lake_and_boat.jpg,8,2,0.0,1.0,,0.18263118393453687
initial_susceptibility,2,content_canny_density+clip_patch_mutual_nearest_fraction,leave_one_reference_family_out,demuth,7,3,0.3333333333333333,1.0,1.0,0.4973938558551441
initial_susceptibility,2,content_canny_density+clip_patch_mutual_nearest_fraction,leave_one_reference_family_out,hokusai,9,1,1.0,0.0,,0.17898118152836237
initial_susceptibility,2,content_canny_density+clip_patch_mutual_nearest_fraction,leave_one_reference_family_out,kulhanek,7,3,0.3333333333333333,1.0,1.0,0.353863547165801
initial_susceptibility,2,content_canny_density+clip_patch_mutual_nearest_fraction,leave_one_reference_family_out,monet,9,1,1.0,1.0,,0.8498331141941778
initial_susceptibility,2,content_canny_density+clip_patch_mutual_nearest_fraction,leave_one_reference_family_out,peixotto,9,1,0.0,1.0,,0.1595847922760818
initial_susceptibility,2,content_canny_density+clip_patch_mutual_nearest_fraction,leave_one_reference_family_out,van_gogh,9,1,0.0,0.0,,0.9397956004522514
initial_susceptibility,3,content_canny_density+clip_patch_mutual_nearest_fraction+content_lsd_orientation_entropy,leave_one_content_family_out,photo_forest_trees.jpg,8,2,0.0,1.0,,0.2347742733833421
initial_susceptibility,3,content_canny_density+clip_patch_mutual_nearest_fraction+content_lsd_orientation_entropy,leave_one_content_family_out,photo_lecreusois_church.jpg,9,1,0.0,0.0,,0.9518251921808513
initial_susceptibility,3,content_canny_density+clip_patch_mutual_nearest_fraction+content_lsd_orientation_entropy,leave_one_content_family_out,photo_sea_coast.jpg,9,1,1.0,0.0,,0.2185998649259847
initial_susceptibility,3,content_canny_density+clip_patch_mutual_nearest_fraction+content_lsd_orientation_entropy,leave_one_content_family_out,photo_sea_wave.jpg,9,1,0.0,1.0,,0.41906885147462064
initial_susceptibility,3,content_canny_density+clip_patch_mutual_nearest_fraction+content_lsd_orientation_entropy,leave_one_content_family_out,photo_seregei_street.jpg,8,2,1.0,1.0,,0.9105395834540619
initial_susceptibility,3,content_canny_density+clip_patch_mutual_nearest_fraction+content_lsd_orientation_entropy,leave_one_content_family_out,photo_snow_winter.jpg,9,1,1.0,1.0,,0.608121297066494
initial_susceptibility,3,content_canny_density+clip_patch_mutual_nearest_fraction+content_lsd_orientation_entropy,leave_one_content_family_out,photo_water_lake_and_boat.jpg,8,2,0.0,1.0,,0.053324607580714944
initial_susceptibility,3,content_canny_density+clip_patch_mutual_nearest_fraction+content_lsd_orientation_entropy,leave_one_reference_family_out,demuth,7,3,0.3333333333333333,1.0,1.0,0.5337016577919661
initial_susceptibility,3,content_canny_density+clip_patch_mutual_nearest_fraction+content_lsd_orientation_entropy,leave_one_reference_family_out,hokusai,9,1,1.0,0.0,,0.2185998649259847
initial_susceptibility,3,content_canny_density+clip_patch_mutual_nearest_fraction+content_lsd_orientation_entropy,leave_one_reference_family_out,kulhanek,7,3,0.3333333333333333,1.0,1.0,0.29908237870287385
initial_susceptibility,3,content_canny_density+clip_patch_mutual_nearest_fraction+content_lsd_orientation_entropy,leave_one_reference_family_out,monet,9,1,1.0,1.0,,0.8132513677505379
initial_susceptibility,3,content_canny_density+clip_patch_mutual_nearest_fraction+content_lsd_orientation_entropy,leave_one_reference_family_out,peixotto,9,1,0.0,1.0,,0.06927154266070863
initial_susceptibility,3,content_canny_density+clip_patch_mutual_nearest_fraction+content_lsd_orientation_entropy,leave_one_reference_family_out,van_gogh,9,1,0.0,0.0,,0.9518251921808513
style_responsiveness,1,clip_patch_mutual_nearest_fraction,leave_one_content_family_out,photo_forest_trees.jpg,10,2,0.0,1.0,,0.2380825341217549
style_responsiveness,1,clip_patch_mutual_nearest_fraction,leave_one_content_family_out,photo_lecreusois_church.jpg,10,2,1.0,0.5,,0.6838433499493101
style_responsiveness,1,clip_patch_mutual_nearest_fraction,leave_one_content_family_out,photo_sea_coast.jpg,11,1,0.0,1.0,,0.4430393437368663
style_responsiveness,1,clip_patch_mutual_nearest_fraction,leave_one_content_family_out,photo_sea_wave.jpg,10,2,0.5,1.0,1.0,0.5270654952406255
style_responsiveness,1,clip_patch_mutual_nearest_fraction,leave_one_content_family_out,photo_seregei_street.jpg,11,1,0.0,1.0,,0.3984073867386503
style_responsiveness,1,clip_patch_mutual_nearest_fraction,leave_one_content_family_out,photo_snow_winter.jpg,11,1,1.0,1.0,,0.5722538511319933
style_responsiveness,1,clip_patch_mutual_nearest_fraction,leave_one_content_family_out,photo_water_lake_and_boat.jpg,9,3,0.3333333333333333,0.6666666666666666,0.5,0.229906883611677
style_responsiveness,1,clip_patch_mutual_nearest_fraction,leave_one_reference_family_out,demuth,7,5,0.4,0.6,0.5,0.2925415530835207
style_responsiveness,1,clip_patch_mutual_nearest_fraction,leave_one_reference_family_out,hokusai,10,2,0.5,1.0,1.0,0.5763900485481295
style_responsiveness,1,clip_patch_mutual_nearest_fraction,leave_one_reference_family_out,kulhanek,9,3,0.3333333333333333,1.0,1.0,0.3518398128529263
style_responsiveness,1,clip_patch_mutual_nearest_fraction,leave_one_reference_family_out,peixotto,11,1,0.0,1.0,,0.18486546672240164
style_responsiveness,1,clip_patch_mutual_nearest_fraction,leave_one_reference_family_out,van_gogh,11,1,1.0,1.0,,0.9936532672515472
style_responsiveness,2,clip_patch_mutual_nearest_fraction+dino_patch_nearest_p10,leave_one_content_family_out,photo_forest_trees.jpg,10,2,0.0,1.0,,0.12498547468900108
style_responsiveness,2,clip_patch_mutual_nearest_fraction+dino_patch_nearest_p10,leave_one_content_family_out,photo_lecreusois_church.jpg,10,2,1.0,0.5,,0.7263739405996578
style_responsiveness,2,clip_patch_mutual_nearest_fraction+dino_patch_nearest_p10,leave_one_content_family_out,photo_sea_coast.jpg,11,1,0.0,1.0,,0.27344866689784175
style_responsiveness,2,clip_patch_mutual_nearest_fraction+dino_patch_nearest_p10,leave_one_content_family_out,photo_sea_wave.jpg,10,2,0.5,1.0,1.0,0.5178567252357656
