target,subset,feature,n,spearman_rho
style_valid,multiseed_9_pairs,content_canny_density,9,
style_valid,multiseed_9_pairs,content_lsd_line_density,9,
style_valid,multiseed_9_pairs,content_lsd_length_mean,9,
style_valid,multiseed_9_pairs,content_lsd_length_p90,9,
style_valid,multiseed_9_pairs,content_lsd_orientation_entropy,9,
style_valid,multiseed_9_pairs,content_lsd_orientation_max_share,9,
style_valid,multiseed_9_pairs,reference_canny_density,9,
style_valid,multiseed_9_pairs,reference_minus_content_canny_density,9,
style_valid,multiseed_9_pairs,reference_div_content_canny_density,9,
style_valid,multiseed_9_pairs,reference_lsd_line_density,9,
style_valid,multiseed_9_pairs,reference_minus_content_lsd_line_density,9,
style_valid,multiseed_9_pairs,reference_div_content_lsd_line_density,9,
style_valid,multiseed_9_pairs,reference_lsd_length_mean,9,
style_valid,multiseed_9_pairs,reference_minus_content_lsd_length_mean,9,
style_valid,multiseed_9_pairs,reference_div_content_lsd_length_mean,9,
style_valid,multiseed_9_pairs,reference_lsd_length_p90,9,
style_valid,multiseed_9_pairs,reference_minus_content_lsd_length_p90,9,
style_valid,multiseed_9_pairs,reference_div_content_lsd_length_p90,9,
style_valid,multiseed_9_pairs,reference_lsd_orientation_entropy,9,
style_valid,multiseed_9_pairs,reference_minus_content_lsd_orientation_entropy,9,
style_valid,multiseed_9_pairs,reference_div_content_lsd_orientation_entropy,9,
style_valid,multiseed_9_pairs,reference_lsd_orientation_max_share,9,
style_valid,multiseed_9_pairs,reference_minus_content_lsd_orientation_max_share,9,
style_valid,multiseed_9_pairs,reference_div_content_lsd_orientation_max_share,9,
style_valid,multiseed_9_pairs,lab_mean_distance,9,
style_valid,multiseed_9_pairs,lab_std_distance,9,
style_valid,multiseed_9_pairs,contrast_abs_difference,9,
style_valid,multiseed_9_pairs,log_laplacian_variance_ratio,9,
style_valid,multiseed_9_pairs,high_frequency_abs_difference,9,
style_valid,multiseed_9_pairs,color_histogram_distance,9,
style_valid,multiseed_9_pairs,orientation_distribution_js,9,
style_valid,multiseed_9_pairs,rgb_patch_nearest_cosine_mean,9,
style_valid,multiseed_9_pairs,rgb_patch_nearest_cosine_p10,9,
style_valid,multiseed_9_pairs,rgb_patch_mutual_nearest_fraction,9,
style_valid,multiseed_9_pairs,clip_global_cosine,9,
style_valid,multiseed_9_pairs,clip_patch_nearest_mean,9,
style_valid,multiseed_9_pairs,clip_patch_nearest_p10,9,
style_valid,multiseed_9_pairs,clip_patch_mutual_nearest_fraction,9,
style_valid,multiseed_9_pairs,dino_global_cosine,9,
style_valid,multiseed_9_pairs,dino_patch_nearest_mean,9,
style_valid,multiseed_9_pairs,dino_patch_nearest_p10,9,
style_valid,multiseed_9_pairs,dino_patch_mutual_nearest_fraction,9,
baseline_takeover_02,multiseed_9_pairs,content_canny_density,9,0.5314940034527339
baseline_takeover_02,multiseed_9_pairs,content_lsd_line_density,9,-0.10629880069054677
baseline_takeover_02,multiseed_9_pairs,content_lsd_length_mean,9,0.10629880069054677
baseline_takeover_02,multiseed_9_pairs,content_lsd_length_p90,9,-0.053149400345273386
baseline_takeover_02,multiseed_9_pairs,content_lsd_orientation_entropy,9,0.21259760138109354
baseline_takeover_02,multiseed_9_pairs,content_lsd_orientation_max_share,9,-0.10629880069054677
baseline_takeover_02,multiseed_9_pairs,reference_canny_density,9,0.08703882797784891
baseline_takeover_02,multiseed_9_pairs,reference_minus_content_canny_density,9,-0.42163702135578385
baseline_takeover_02,multiseed_9_pairs,reference_div_content_canny_density,9,-0.3689323936863109
baseline_takeover_02,multiseed_9_pairs,reference_lsd_line_density,9,-0.26111648393354675
baseline_takeover_02,multiseed_9_pairs,reference_minus_content_lsd_line_density,9,0.10540925533894596
baseline_takeover_02,multiseed_9_pairs,reference_div_content_lsd_line_density,9,0.05270462766947298
baseline_takeover_02,multiseed_9_pairs,reference_lsd_length_mean,9,-0.08703882797784891
baseline_takeover_02,multiseed_9_pairs,reference_minus_content_lsd_length_mean,9,0.0
baseline_takeover_02,multiseed_9_pairs,reference_div_content_lsd_length_mean,9,-0.05270462766947298
baseline_takeover_02,multiseed_9_pairs,reference_lsd_length_p90,9,-0.08703882797784891
baseline_takeover_02,multiseed_9_pairs,reference_minus_content_lsd_length_p90,9,0.0
baseline_takeover_02,multiseed_9_pairs,reference_div_content_lsd_length_p90,9,0.0
baseline_takeover_02,multiseed_9_pairs,reference_lsd_orientation_entropy,9,-0.08703882797784891
baseline_takeover_02,multiseed_9_pairs,reference_minus_content_lsd_orientation_entropy,9,-0.3689323936863109
baseline_takeover_02,multiseed_9_pairs,reference_div_content_lsd_orientation_entropy,9,-0.3689323936863109
baseline_takeover_02,multiseed_9_pairs,reference_lsd_orientation_max_share,9,-0.26111648393354675
baseline_takeover_02,multiseed_9_pairs,reference_minus_content_lsd_orientation_max_share,9,0.10540925533894596
baseline_takeover_02,multiseed_9_pairs,reference_div_content_lsd_orientation_max_share,9,0.10540925533894596
baseline_takeover_02,multiseed_9_pairs,lab_mean_distance,9,-0.5270462766947299
baseline_takeover_02,multiseed_9_pairs,lab_std_distance,9,-0.21081851067789192
baseline_takeover_02,multiseed_9_pairs,contrast_abs_difference,9,0.10540925533894596
baseline_takeover_02,multiseed_9_pairs,log_laplacian_variance_ratio,9,-0.21081851067789192
baseline_takeover_02,multiseed_9_pairs,high_frequency_abs_difference,9,0.10540925533894596
baseline_takeover_02,multiseed_9_pairs,color_histogram_distance,9,-0.05270462766947298
baseline_takeover_02,multiseed_9_pairs,orientation_distribution_js,9,-0.21081851067789192
baseline_takeover_02,multiseed_9_pairs,rgb_patch_nearest_cosine_mean,9,0.3689323936863109
baseline_takeover_02,multiseed_9_pairs,rgb_patch_nearest_cosine_p10,9,0.26352313834736496
baseline_takeover_02,multiseed_9_pairs,rgb_patch_mutual_nearest_fraction,9,0.0
baseline_takeover_02,multiseed_9_pairs,clip_global_cosine,9,-0.05270462766947298
baseline_takeover_02,multiseed_9_pairs,clip_patch_nearest_mean,9,0.10540925533894596
baseline_takeover_02,multiseed_9_pairs,clip_patch_nearest_p10,9,0.3689323936863109
baseline_takeover_02,multiseed_9_pairs,clip_patch_mutual_nearest_fraction,9,0.1323140310062408
baseline_takeover_02,multiseed_9_pairs,dino_global_cosine,9,-0.42163702135578385
baseline_takeover_02,multiseed_9_pairs,dino_patch_nearest_mean,9,0.15811388300841894
baseline_takeover_02,multiseed_9_pairs,dino_patch_nearest_p10,9,-0.10540925533894596
baseline_takeover_02,multiseed_9_pairs,dino_patch_mutual_nearest_fraction,9,0.10585122480499264
style_gain_if_valid,multiseed_style_valid_true_only,content_canny_density,9,-0.0447070555804791
style_gain_if_valid,multiseed_style_valid_true_only,content_lsd_line_density,9,-0.053648466696574915
style_gain_if_valid,multiseed_style_valid_true_only,content_lsd_length_mean,9,-0.38448067799212027
style_gain_if_valid,multiseed_style_valid_true_only,content_lsd_length_p90,9,-0.44707055580479094
style_gain_if_valid,multiseed_style_valid_true_only,content_lsd_orientation_entropy,9,0.1788282223219164
style_gain_if_valid,multiseed_style_valid_true_only,content_lsd_orientation_max_share,9,-0.1788282223219164
style_gain_if_valid,multiseed_style_valid_true_only,reference_canny_density,9,0.21964027974653355
style_gain_if_valid,multiseed_style_valid_true_only,reference_minus_content_canny_density,9,0.23939782946951918
style_gain_if_valid,multiseed_style_valid_true_only,reference_div_content_canny_density,9,0.1950648980862749
style_gain_if_valid,multiseed_style_valid_true_only,reference_lsd_line_density,9,0.2391638601684476
style_gain_if_valid,multiseed_style_valid_true_only,reference_minus_content_lsd_line_density,9,0.07979927648983971
style_gain_if_valid,multiseed_style_valid_true_only,reference_div_content_lsd_line_density,9,0.124132207873084
style_gain_if_valid,multiseed_style_valid_true_only,reference_lsd_length_mean,9,-0.21964027974653355
style_gain_if_valid,multiseed_style_valid_true_only,reference_minus_content_lsd_length_mean,9,-0.14186538042638172
style_gain_if_valid,multiseed_style_valid_true_only,reference_div_content_lsd_length_mean,9,-0.20393148436292374
style_gain_if_valid,multiseed_style_valid_true_only,reference_lsd_length_p90,9,-0.21964027974653355
style_gain_if_valid,multiseed_style_valid_true_only,reference_minus_content_lsd_length_p90,9,-0.14186538042638172
style_gain_if_valid,multiseed_style_valid_true_only,reference_div_content_lsd_length_p90,9,-0.20393148436292374
style_gain_if_valid,multiseed_style_valid_true_only,reference_lsd_orientation_entropy,9,-0.0439280559493067
style_gain_if_valid,multiseed_style_valid_true_only,reference_minus_content_lsd_orientation_entropy,9,-0.28373076085276344
style_gain_if_valid,multiseed_style_valid_true_only,reference_div_content_lsd_orientation_entropy,9,-0.28373076085276344
style_gain_if_valid,multiseed_style_valid_true_only,reference_lsd_orientation_max_share,9,0.2391638601684476
style_gain_if_valid,multiseed_style_valid_true_only,reference_minus_content_lsd_orientation_max_share,9,0.248264415746168
style_gain_if_valid,multiseed_style_valid_true_only,reference_div_content_lsd_orientation_max_share,9,0.248264415746168
style_gain_if_valid,multiseed_style_valid_true_only,lab_mean_distance,9,-0.17733172553297716
style_gain_if_valid,multiseed_style_valid_true_only,lab_std_distance,9,0.11526562159643515
style_gain_if_valid,multiseed_style_valid_true_only,contrast_abs_difference,9,0.04433293138324429
style_gain_if_valid,multiseed_style_valid_true_only,log_laplacian_variance_ratio,9,0.28373076085276344
style_gain_if_valid,multiseed_style_valid_true_only,high_frequency_abs_difference,9,-0.5674615217055269
style_gain_if_valid,multiseed_style_valid_true_only,color_histogram_distance,9,-0.1684651392563283
style_gain_if_valid,multiseed_style_valid_true_only,orientation_distribution_js,9,-0.248264415746168
style_gain_if_valid,multiseed_style_valid_true_only,rgb_patch_nearest_cosine_mean,9,-0.4521959001090917
style_gain_if_valid,multiseed_style_valid_true_only,rgb_patch_nearest_cosine_p10,9,-0.4521959001090917
style_gain_if_valid,multiseed_style_valid_true_only,rgb_patch_mutual_nearest_fraction,9,-0.1788282223219164
style_gain_if_valid,multiseed_style_valid_true_only,clip_global_cosine,9,-0.1684651392563283
style_gain_if_valid,multiseed_style_valid_true_only,clip_patch_nearest_mean,9,0.34579686478930544
style_gain_if_valid,multiseed_style_valid_true_only,clip_patch_nearest_p10,9,0.08866586276648858
style_gain_if_valid,multiseed_style_valid_true_only,clip_patch_mutual_nearest_fraction,9,0.7078491507150851
style_gain_if_valid,multiseed_style_valid_true_only,dino_global_cosine,9,0.5142620040456337
style_gain_if_valid,multiseed_style_valid_true_only,dino_patch_nearest_mean,9,0.744793247238504
