target,feature_count,features,split,held_out_group,n_usable,n_train,n_test,test_positive_rate,accuracy,balanced_accuracy,mean_positive_probability
style_viability,1,content_lsd_orientation_entropy,leave_one_content_family_out,church,23,18,5,1.0,1.0,,0.7865529538945111
style_viability,1,content_lsd_orientation_entropy,leave_one_content_family_out,city,23,21,2,0.5,0.5,0.5,0.9257558376525514
style_viability,1,content_lsd_orientation_entropy,leave_one_content_family_out,coast,23,22,1,1.0,1.0,,0.8660125297814196
style_viability,1,content_lsd_orientation_entropy,leave_one_content_family_out,forest,23,19,4,0.5,0.5,0.5,0.9568206069179672
style_viability,1,content_lsd_orientation_entropy,leave_one_content_family_out,lake,23,17,6,1.0,0.0,,0.47504725514028706
style_viability,1,content_lsd_orientation_entropy,leave_one_content_family_out,snow,23,22,1,1.0,1.0,,0.8659836390482406
style_viability,1,content_lsd_orientation_entropy,leave_one_content_family_out,wave,23,19,4,1.0,1.0,,0.8416073225844093
style_viability,1,content_lsd_orientation_entropy,leave_one_reference_family_out,demuth,23,18,5,1.0,1.0,,0.833950068270134
style_viability,1,content_lsd_orientation_entropy,leave_one_reference_family_out,hokusai,23,19,4,0.75,0.75,0.5,0.896378128403456
style_viability,1,content_lsd_orientation_entropy,leave_one_reference_family_out,kulhanek,23,19,4,1.0,1.0,,0.8417489913615859
style_viability,1,content_lsd_orientation_entropy,leave_one_reference_family_out,monet,23,18,5,0.6,0.6,0.5,0.9458840864113848
style_viability,1,content_lsd_orientation_entropy,leave_one_reference_family_out,peixotto,23,21,2,1.0,1.0,,0.8560784582896683
style_viability,1,content_lsd_orientation_entropy,leave_one_reference_family_out,van_gogh,23,20,3,1.0,1.0,,0.8504049428499562
style_viability,2,content_lsd_orientation_entropy+clip_patch_mutual_nearest_fraction,leave_one_content_family_out,church,23,18,5,1.0,0.8,,0.6697406490449893
style_viability,2,content_lsd_orientation_entropy+clip_patch_mutual_nearest_fraction,leave_one_content_family_out,city,23,21,2,0.5,0.5,0.5,0.9281948197233958
style_viability,2,content_lsd_orientation_entropy+clip_patch_mutual_nearest_fraction,leave_one_content_family_out,coast,23,22,1,1.0,1.0,,0.8846987216451357
style_viability,2,content_lsd_orientation_entropy+clip_patch_mutual_nearest_fraction,leave_one_content_family_out,forest,23,19,4,0.5,0.5,0.5,0.972956829784085
style_viability,2,content_lsd_orientation_entropy+clip_patch_mutual_nearest_fraction,leave_one_content_family_out,lake,23,17,6,1.0,0.16666666666666666,,0.4446081293016894
style_viability,2,content_lsd_orientation_entropy+clip_patch_mutual_nearest_fraction,leave_one_content_family_out,snow,23,22,1,1.0,1.0,,0.8573729264292907
style_viability,2,content_lsd_orientation_entropy+clip_patch_mutual_nearest_fraction,leave_one_content_family_out,wave,23,19,4,1.0,1.0,,0.8506109389083347
style_viability,2,content_lsd_orientation_entropy+clip_patch_mutual_nearest_fraction,leave_one_reference_family_out,demuth,23,18,5,1.0,1.0,,0.8537145390060541
style_viability,2,content_lsd_orientation_entropy+clip_patch_mutual_nearest_fraction,leave_one_reference_family_out,hokusai,23,19,4,0.75,0.75,0.5,0.9081736661686096
style_viability,2,content_lsd_orientation_entropy+clip_patch_mutual_nearest_fraction,leave_one_reference_family_out,kulhanek,23,19,4,1.0,1.0,,0.8562989450150225
style_viability,2,content_lsd_orientation_entropy+clip_patch_mutual_nearest_fraction,leave_one_reference_family_out,monet,23,18,5,0.6,0.6,0.5,0.9584903321887419
style_viability,2,content_lsd_orientation_entropy+clip_patch_mutual_nearest_fraction,leave_one_reference_family_out,peixotto,23,21,2,1.0,1.0,,0.859970445607613
style_viability,2,content_lsd_orientation_entropy+clip_patch_mutual_nearest_fraction,leave_one_reference_family_out,van_gogh,23,20,3,1.0,1.0,,0.787432807015028
style_viability,3,content_lsd_orientation_entropy+clip_patch_mutual_nearest_fraction+clip_patch_nearest_p10,leave_one_content_family_out,church,23,18,5,1.0,0.8,,0.6801364828017228
style_viability,3,content_lsd_orientation_entropy+clip_patch_mutual_nearest_fraction+clip_patch_nearest_p10,leave_one_content_family_out,city,23,21,2,0.5,0.5,0.5,0.9316188555646905
